 ,Release Date,Movie,Approx. Profit,Production Budget,RoI,
1,"Mar 21, 1980",Mad Max,"$49,675,000.00","$200,000.00","24,738%",
2,"Sep 29, 2006",Facing the Giants,"$24,377,174.00","$100,000.00","24,277%",
3,"Sep 25, 2009",Paranormal Activity,"$89,933,039.00","$450,000.00","19,885%",
4,"Feb 26, 1993",El Mariachi,"$1,013,964.00","$7,000.00","14,385%",
5,"Jul 14, 1999",The Blair Witch Project,"$83,224,000.00","$600,000.00","13,771%",
6,"Oct 17, 1978",Halloween,"$33,250,000.00","$325,000.00","10,131%",
7,"May 7, 2004",Super Size Me,"$6,427,904.00","$65,000.00","9,789%",
8,"Sep 26, 2008",Fireproof,"$46,407,415.00","$500,000.00","9,181%",
9,"Jul 10, 2015",The Gallows,"$6,922,466.00","$100,000.00","6,822%",
10,"Oct 6, 2009",A Charlie Brown Christmas,"$7,936,689.00","$150,000.00","5,191%",
11,"May 9, 1980",Friday the 13th,"$27,073,301.00","$550,000.00","4,822%",
12,"May 24, 2006",An Inconvenient Truth,"$48,192,078.00","$1,000,000.00","4,719%",
13,"Jan 1, 1977",Eraserhead,"$4,700,711.00","$100,000.00","4,601%",
14,"May 1, 1981",Graduation Day,"$11,697,000.00","$250,000.00","4,579%",
15,"May 16, 2007",Once,"$6,667,639.00","$150,000.00","4,345%",
16,"Apr 23, 2009",Home,"$21,868,584.00","$500,000.00","4,274%",
17,"Apr 15, 1983",The Evil Dead,"$14,325,000.00","$375,000.00","3,720%",
18,"Jan 6, 2012",The Devil Inside,"$37,462,375.00","$1,000,000.00","3,646%",
19,"Oct 7, 2005",Waiting...,"$37,756,965.00","$1,125,000.00","3,256%",
20,"Mar 21, 2014",God’s Not Dead,"$36,697,628.00","$1,150,000.00","3,091%",
,,,,,,
